cal,C14,error
10005,8875,23
10000,8872,21
9995,8876,20
9990,8888,21
9985,8905,20
9980,8921,20
9975,8929,20
9970,8922,19
9965,8905,19
9960,8887,20
9955,8876,24
9950,8873,25
9945,8875,25
9940,8879,26
9935,8883,26
9930,8885,24
9925,8885,24
9920,8881,24
9915,8875,24
9910,8864,21
9905,8851,21
9900,8836,21
9895,8820,21
9890,8805,21
9885,8792,21
9880,8784,21
9875,8781,22
9870,8785,21
9865,8790,22
9860,8793,21
9855,8794,20
9850,8796,21
9845,8800,21
9840,8806,20
9835,8811,21
9830,8813,22
9825,8812,21
9820,8809,22
9815,8807,24
9810,8805,26
9805,8804,25
9800,8804,23
9795,8804,22
9790,8803,22
9785,8800,21
9780,8796,20
9775,8791,19
9770,8786,19
9765,8781,20
9760,8778,20
9755,8775,20
9750,8774,20
9745,8773,22
9740,8772,23
9735,8771,22
9730,8770,21
9725,8769,21
9720,8767,22
9715,8765,22
9710,8762,21
9705,8759,21
9700,8754,24
9695,8747,26
9690,8736,25
9685,8724,25
9680,8714,27
9675,8709,26
9670,8708,24
9665,8707,23
9660,8702,22
9655,8695,23
9650,8693,23
9645,8698,22
9640,8705,22
9635,8708,23
9630,8706,24
9625,8701,23
9620,8699,24
9615,8702,23
9610,8704,24
9605,8699,22
9600,8691,22
9595,8684,23
9590,8680,23
9585,8679,23
9580,8682,23
9575,8687,23
9570,8696,21
9565,8702,21
9560,8696,21
9555,8679,22
9550,8655,22
9545,8623,22
9540,8585,21
9535,8547,21
9530,8514,22
9525,8489,22
9520,8475,22
9515,8475,23
9510,8487,23
9505,8496,22
9500,8498,23
9495,8493,24
9490,8482,23
9485,8467,23
9480,8452,22
9475,8438,21
9470,8426,22
9465,8416,21
9460,8407,22
9455,8401,24
9450,8396,26
9445,8394,25
9440,8391,24
9435,8386,25
9430,8376,24
9425,8363,22
9420,8351,23
9415,8344,21
9410,8339,21
9405,8327,22
9400,8311,23
9395,8297,26
9390,8294,26
9385,8300,24
9380,8308,24
9375,8310,23
9370,8306,21
9365,8310,21
9360,8320,23
9355,8329,23
9350,8336,25
9345,8344,23
9340,8350,22
9335,8352,23
9330,8347,24
9325,8338,26
9320,8328,28
9315,8320,27
9310,8314,25
9305,8308,24
9300,8303,25
9295,8297,24
9290,8290,23
9285,8281,25
9280,8271,26
9275,8260,25
9270,8249,26
9265,8239,29
9260,8231,32
9255,8227,32
9250,8224,31
9245,8223,30
9240,8224,28
9235,8226,28
9230,8228,28
9225,8231,27
9220,8234,26
9215,8236,24
9210,8236,23
9205,8233,25
9200,8225,24
9195,8215,24
9190,8209,25
9185,8211,25
9180,8221,23
9175,8235,24
9170,8249,26
9165,8258,25
9160,8261,25
9155,8259,25
9150,8252,24
9145,8241,21
9140,8228,21
9135,8217,20
9130,8205,21
9125,8188,20
9120,8173,21
9115,8171,20
9110,8175,21
9105,8181,21
9100,8184,21
9095,8182,21
9090,8174,22
9085,8160,21
9080,8148,23
9075,8143,22
9070,8143,22
9065,8146,21
9060,8149,21
9055,8159,23
9050,8173,23
9045,8186,23
9040,8191,21
9035,8183,20
9030,8165,20
9025,8142,19
9020,8124,19
9015,8111,19
9010,8092,19
